id,text,clean_text,predicted_emotion,sarkasme_leksikon,sarkasme_proksi_jijik
2.05808998538829e+18,"Qurban tahun ini terasa lebih hangat dan penuh makna 🤍

Alhamdulillah, Yatim Mandiri Ngawi bersama Ngawi Madang sukses menggelar program Misi Berbagi Gizi di TPQ As-Sholikhin, Kedunggalar, Ngawi. https://t.co/sdA67avQ7Y",qurban tahun ini terasa lebih hangat dan penuh makna alhamdulillah yatim mandiri ngawi bersama ngawi madang sukses menggelar program misi berbagi gizi di tpq assholikhin kedunggalar ngawi,Tertarik,False,False
2.05841339645472e+18,"@Sekjebn keren banget langkah polres labusel 👏 program sppg 5 ini jadi bukti nyata kalau Melayani Gizi Indonesia bukan cuma slogan, tapi aksi langsung buat bantu anak-anak sekolah 🌟 #MenjagaKetahananPangan",keren banget langkah polres labusel program sppg ini jadi bukti nyata kalau melayani gizi indonesia bukan cuma slogan tapi aksi langsung buat bantu anakanak sekolah,Tertarik,True,True
2.0581013559912e+18,"Sepasang remaja asal Temanggung kepergok sedang berduaan di toilet SPBU Soco Slogohimo, Kab. Wonogiri. 

Kenikmatan sesaat menjadi aib seumur hidup 😂 https://t.co/Y0uR0fWeIF",sepasang remaja asal temanggung kepergok sedang berduaan di toilet spbu soco slogohimo kab wonogiri kenikmatan sesaat menjadi aib seumur hidup,Netral,False,False
2.05842500443038e+18,@cintamiyamin DONE YACHHHH ig ak yng sylveaj🌟🌟🌟,done yachhhh ig ak yng sylveaj,Percaya,False,False
2.05841035865482e+18,"pemanfaatan lahan kosong jadi langkah nyata untuk masa depan pangan, polsek rupat hadir memberi edukasi dan dorongan kepada masyarakat agar lebih peduli terhadap ketahanan pangan di lingkungan sekitar. dari hal sederhana dimulai 🙌
#MenjagaKetahananPangan
Melayani Gizi Indonesia https://t.co/nDfYKluTHo",pemanfaatan lahan kosong jadi langkah nyata untuk masa depan pangan polsek rupat hadir memberi edukasi dan dorongan kepada masyarakat agar lebih peduli terhadap ketahanan pangan di lingkungan sekitar dari hal sederhana dimulai melayani gizi indonesia,Jijik,False,True
2.05802670263124e+18,"Dari tanah Nabire, Papua Tengah, para mama-mama pemasok hasil bumi menyampaikan rasa terima kasih karena program MBG ikut membuka ruang bagi hasil kebun dan pangan lokal untuk lebih dihargai. 
Bukan cuma membantu gizi anak-anak, tapi juga menggerakkan ekonomi rakyat kecil sampai ke daerah  ✊🇮🇩",dari tanah nabire papua tengah para mamamama pemasok hasil bumi menyampaikan rasa terima kasih karena program mbg ikut membuka ruang bagi hasil kebun dan pangan lokal untuk lebih dihargai bukan cuma membantu gizi anakanak tapi juga menggerakkan ekonomi rakyat kecil sampai ke daerah,Jijik,False,True
2.05793959921386e+18,@spicygumbear petite yg sehat bukan kurang gizi juga 🙃,petite yg sehat bukan kurang gizi juga,Jijik,False,True
2.05821659242974e+18,@The911onABC and big brother chris looking out for him ❤️,and big brother chris looking out for him,Percaya,False,False
2.05844267634172e+18,"Berawal dari telor, urusan jadi panjang 😂 https://t.co/fQyjfODUu0",berawal dari telor urusan jadi panjang,Jijik,False,True
2.05528043127327e+18,"KAGET ternyata dari awal mulai diet sampe sekarang, aku udah turun 4kg 🥺

The power of GERAK, karna setahun ke belakang (lebih) aku diem 24/7, makasih treadmill, makasih dr gizi awkwkwk https://t.co/HlzXoodUDW",kaget ternyata dari awal mulai diet sampe sekarang aku udah turun kg the power of gerak karna setahun ke belakang lebih aku diem makasih treadmill makasih dr gizi awkwkwk,Jijik,False,True
